"","artist","artist_id","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12","g13","g14","g15","g16","g17","g18","g19","g20"
"243","Anne-Marie","1zNqDE7qDGCsyzJwohVaoX","dance pop","edm","pop","post-teen pop","tropical house","uk pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Billie Eilish","6qqNVTkY8uBg9cP3Jd7DAH","electropop","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Capo Plaza","5SulO4l40qDuV9zUGLZx7n","italian hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Seeb","5iNrZmtVMtYev5M9yoWpEq","dance pop","edm","norwegian pop","pop","pop edm","tropical house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Tim Berg","7iLc4hrjOjQPfg1E3cCHg1","big room","edm","progressive electro house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Leona Lewis","5lKZWd6HiSCLfnDGrq9RAm","australian pop","british soul","dance pop","europop","pop","post-teen pop","r&b","talent show","uk pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Banx & Ranx","2uFC1dAj5b0YU7vulKNZ0p","basshall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Mason Ramsey","6xvpfMjWTougrRRtK7iikz","country",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Capital Bra","4WZGDpNwrC0vNQyl9QzF7d","german hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Gzuz","5eioJDe26lOqkAMbuhzZYs","deep german hip hop","german hip hop","hamburg hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","MC MM","3a5ydeAaojKa3CHWe5PVWK","baile pop","funk carioca","funk ostentacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","MC WM","14D0I0RYqvIorkPL2EWoQh","baile pop","funk carioca","funk ostentacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Kanye West","5K4W6rqBFWDnAN6FQUkS6x","chicago rap","hip hop","pop rap","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Paulo Londra","3vQ0GE3mI0dAaxIMYe5g7z","argentine hip hop","trap argentino","trap latino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Charlie Charles","1UCxzrM5WJh9ure5vCcsim","italian hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
