"","track_id","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","danceability"
"1476","5274I4mUMnYczyeXkGDWZN",0.542,7,-7.358,1,0.323,0.0484,0,0.126,0.551,166.111,141587,4,0.656
"1477","4AhSkRYioEIfGvCV19peYN",0.639,7,-6.897,0,0.153,0.107,0.000657,0.118,0.344,90.027,189493,4,0.695
"1478","13hvHEstJ4sNbzdroPrPI3",0.729,8,-4.383,1,0.146,0.0557,0,0.189,0.63,99.986,190560,4,0.675
"1479","06GcodDliPWAYFX2LSFLIu",0.458,4,-7.761,0,0.0371,0.552,0.0257,0.117,0.207,115.989,270413,4,0.487
"1480","5tAa8Uaqr4VvA3693mbIhU",0.699,11,-5.265,1,0.0578,0.423,0,0.0969,0.585,124.896,190932,4,0.665
"1481","2OsDoAzo5SGq10qwmKSQBv",0.458,4,-7.495,0,0.105,0.266,0,0.174,0.493,125.049,271067,4,0.81
"1482","5kfNriitmkNE8mUbZ7gbq8",0.44,10,-8.559,1,0.0985,0.606,3.02e-05,0.11,0.341,167.923,210667,4,0.551
"1483","6JQvHMSaR8flFsN53ypOfP",0.558,11,-7.622,1,0.0603,0.462,0,0.116,0.493,79.992,165000,4,0.699
"1484","2vs5ubqg8QUbfyWZpMfvWe",0.586,1,-7.868,1,0.232,0.0402,2.66e-06,0.121,0.73,76.48,169920,4,0.732
"1485","1gOyBTO1fDLDTH8Ap12Wyp",0.591,0,-7.215,1,0.0634,0.096,0.124,0.58,0.524,80.977,235920,4,0.554
"1486","3fFBZvG777xoKyvcrBq7lc",0.609,10,-7.555,0,0.237,0.0301,1.61e-05,0.179,0.268,149.991,207867,4,0.903
"1487","2EhJijFUs0WUmNClDBpYJq",0.387,1,-10.123,0,0.487,0.122,0,0.0993,0.739,143.019,102560,4,0.75
"1488","6gzIcEUuswJQGfJNPYMjjv",0.482,4,-8.242,1,0.196,0.327,0,0.229,0.608,140.064,224507,4,0.736
"1489","1k0QMCm5kF3CBjCQ37vDLl",0.451,2,-15.013,1,0.0538,0.975,0.942,0.222,0.59,131.72,55720,3,0.289
"1490","4uHscE8VF6F6mKU3ECjIKr",0.856,1,-5.649,1,0.0337,0.0366,0.0308,0.0809,0.285,160.068,167107,4,0.637
"1491","3m2aDCqn8eT5ElXDUiboGU",0.489,8,-8.411,1,0.462,0.105,0,0.411,0.919,130.021,158769,4,0.95
"1492","2MfcvcvWSUkstTDZXYIakq",0.616,2,-7.34,1,0.165,0.00151,7.1e-06,0.291,0.287,156.83,196333,4,0.753
"1493","3ao3OVxHlb3C08vAaApUlm",0.764,11,-2.935,1,0.0798,0.122,0,0.102,0.913,90.979,163880,4,0.786
"1494","0nWMTq3fBceV1uZlhFn6of",0.526,8,-7.003,1,0.161,0.00779,0.0642,0.13,0.248,149.954,180080,4,0.811
"1495","2xJCMIJfcNYDc5iR0sAm2O",0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,209320,4,0.762
"1496","1hHe7cirScEJWgAS0JFqTL",0.401,0,-8.92,0,0.411,0.0185,0,0.149,0.539,129.976,192907,4,0.951
"1497","0v75ti1d2M6pd0sC42UNNN",0.485,7,-12.302,0,0.162,0.963,0.658,0.152,0.457,80.933,81933,4,0.479
"1498","6Yocr5JJOjupv71R5uhye5",0.734,1,-4.931,1,0.272,0.015,0,0.369,0.537,154.965,251432,4,0.844
"1499","4VMiNOpnjRwSCwmHaUfOMM",0.465,1,-6.29,1,0.278,0.0117,0,0.28,0.367,148.028,170920,4,0.73
"1500","3thLnNvO9IctWoccbsZyJV",0.516,8,-10.512,1,0.459,0.098,0,0.115,0.684,77.058,151013,4,0.456
"1501","1wcYgcBH8WW1kXNezuFBqU",0.703,5,-4.93,0,0.0392,0.032,1.14e-05,0.0656,0.72,101.984,223000,4,0.719
"1502","5ExHDzOoOhC4xZGPh9zyQZ",0.386,10,-10.638,1,0.18,0.245,0,0.0973,0.619,131.971,121000,4,0.795
"1503","0D4yVl9Pn45xW2s63MFCmT",0.837,1,-5.338,1,0.0304,0.000254,0.000378,0.0618,0.526,121.227,248336,4,0.618
"1504","5rBZF2fl4Avi4K0tvrQ0YF",0.426,7,-9.228,0,0.147,0.383,1.56e-05,0.109,0.587,159.963,173868,4,0.666
"1505","3xBHLZwRfi0fjO9euaj5zf",0.719,1,-8.084,1,0.168,0.0172,1.11e-05,0.107,0.575,149.97,217000,4,0.819
"1506","0JR7iZZ6Ql79sXW3rbiS3F",0.503,0,-8.06,1,0.206,0.0492,0,0.226,0.524,142.011,230533,4,0.755
"1507","5R2rsbwCDXORX2tLfprRmM",0.508,7,-7.496,1,0.394,0.317,0,0.153,0.457,159.911,166343,4,0.721
"1508","7L95O7D34EWhwtDCQkwGMR",0.443,5,-11.444,0,0.404,0.114,0,0.412,0.722,74.491,184960,4,0.818
"1509","1Wc1SQwiThvSu9dMc5opth",0.303,10,-11.199,1,0.792,0.521,0,0.169,0.322,127.981,168439,4,0.886
"1510","39Bq9cOTO0H8M6P9iKLVdq",0.814,10,-4.575,1,0.0561,0.162,0,0.16,0.714,155.02,230440,4,0.71
"1511","4Nip6oiJU24LqcUEi7u19S",0.76,1,-6.591,1,0.187,0.146,0,0.155,0.875,88.999,195291,4,0.826
"1512","2rbDhOo9Fh61Bbu23T2qCk",0.502,0,-5.972,1,0.0409,0.299,0,0.764,0.296,129.976,210200,4,0.553
"1513","3tcnWNjEXyXCbFR9zonrX2",0.615,4,-8.245,1,0.0454,0.00587,1.75e-06,0.109,0.039,105.955,215364,4,0.755
"1514","73ipE4lfZ53pvBbJPXkiEK",0.664,0,-8.63,1,0.0645,0.344,2.47e-05,0.324,0.453,99.8,275955,4,0.587
"1515","2GGMabyHXnJmjY6CXhhB2e",0.59,8,-6.508,0,0.29,0.00534,0,0.11,0.219,130.003,183527,4,0.95
"1516","1EXotCuzdXR34W1MoP6Um7",0.443,4,-7.477,0,0.0754,0.00923,1.88e-06,0.124,0.452,180.08,204067,3,0.576
"1517","2r1T6xGTVaNAqBoPH4lZEE",0.684,7,-4.595,1,0.0585,0.252,0,0.72,0.466,96.097,192537,4,0.669
"1518","2LskIZrCeLxRvCiGP8gxlh",0.723,9,-5.45,0,0.0412,0.0302,2.06e-06,0.126,0.288,104.969,198903,4,0.703
"1519","1iPBD72u3nAyFEeardYuBV",0.571,8,-7.539,0,0.094,0.301,0,0.1,0.556,99.999,139200,4,0.792
"1520","5JEx7HbmvHQQswJCsoo9rA",0.758,1,-5.029,0,0.0621,0.0969,0,0.395,0.492,144.111,182623,4,0.574
"1521","14sOS5L36385FJ3OL8hew4",0.575,9,-6.998,1,0.0801,0.374,0,0.252,0.492,117.999,211362,4,0.693
"1522","0OCRwXbQRdOZ1OtB4Imsp1",0.409,9,-6.581,0,0.0505,0.172,0,0.11,0.265,171.838,205440,4,0.538
"1523","5xesHO6GLWTrjsKOjAXRmf",0.624,1,-3.966,1,0.103,0.0944,5.16e-06,0.0903,0.762,116.046,169814,4,0.89
"1524","0rKtyWc8bvkriBthvHKY8d",0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,209274,4,0.515
"1525","6bMIExEulvwM2X6zsuiYwr",0.862,7,-3.4,1,0.231,0.0189,0,0.113,0.357,160.073,244470,4,0.674
"1526","66XXCMX3Na7KNfm5e0tOVZ",0.696,1,-6.179,0,0.246,0.179,0,0.286,0.184,118.001,171270,4,0.853
"1527","1DMEzmAoQIikcL52psptQL",0.648,3,-8.602,1,0.0372,0.71,0.00316,0.108,0.466,75.004,179423,4,0.646
"1528","1VGzxJnVQND7Cg5H5wGj14",0.588,1,-9.573,1,0.133,0.619,0.241,0.0992,0.204,169.033,174358,4,0.672
"1529","7Bvp5JUJiyUrMgvH4DR0wH",0.786,4,-4.319,0,0.133,0.36,0.0163,0.372,0.272,150.06,174400,4,0.584
"1530","5EKHbW7mXcAR4hCyS3YXjb",0.844,7,-3.396,1,0.109,0.498,0,0.866,0.716,159.969,172767,4,0.676
"1531","4sbtM9ORGwmxGkXfctXbJq",0.483,5,-6.886,1,0.0487,0.8,0,0.221,0.715,96.974,168418,4,0.809
